Repository_Name,Primary_Language,Stars_Count,Forks_Count,Open_Issues,Repository_Age_Months,Days_Since_Last_Update,Activity_Month,Monthly_Commit_Velocity,Total_Contributors,Active_Contributors_Last_30_Days,Total_Issues,Issue_Resolution_Rate,Total_Pull_Requests,PR_Merge_Rate,Release_Frequency,Contributor_Churn_Rate,Activity_Status
public-apis/public-apis,Python,398637,42652,852,120,103,1,147,177,20,700,0.437035562,597,0.657116807,10,0.447418306,Active
public-apis/public-apis,Python,398637,42652,852,120,103,2,73,65,94,171,0.779260054,3992,0.846147948,11,0.436936376,Declining
public-apis/public-apis,Python,398637,42652,852,120,103,3,165,292,4,2359,0.796821325,716,0.599277926,8,0.286948127,Declining
public-apis/public-apis,Python,398637,42652,852,120,103,4,36,198,93,663,0.763258414,3125,0.600953146,11,0.323844384,Declining
public-apis/public-apis,Python,398637,42652,852,120,103,5,90,291,93,3474,0.628675837,1735,0.508947586,3,0.323567631,Declining
public-apis/public-apis,Python,398637,42652,852,120,103,6,7,6,87,2049,0.640044906,2644,0.623915112,7,0.15594832,Active
EbookFoundation/free-programming-books,Python,382585,65907,72,150,6,1,112,194,98,2486,0.559825872,3835,0.5871146,2,0.26100485,Active
EbookFoundation/free-programming-books,Python,382585,65907,72,150,6,2,160,234,55,140,0.888836299,354,0.818332016,2,0.148675889,Declining
EbookFoundation/free-programming-books,Python,382585,65907,72,150,6,3,152,10,90,1819,0.863456442,1249,0.79543816,8,0.448662086,Declining
EbookFoundation/free-programming-books,Python,382585,65907,72,150,6,4,138,34,36,2770,0.541789486,3550,0.842276411,8,0.439351905,Declining
EbookFoundation/free-programming-books,Python,382585,65907,72,150,6,5,53,211,13,2114,0.882175176,3477,0.971663097,8,0.280545641,Declining
EbookFoundation/free-programming-books,Python,382585,65907,72,150,6,6,184,216,1,1283,0.530994529,811,0.533333757,5,0.093942011,Declining
kamranahmedse/developer-roadmap,TypeScript,349112,43700,33,108,3,1,40,277,8,4766,0.724369422,2966,0.572872862,9,0.443002757,Active
kamranahmedse/developer-roadmap,TypeScript,349112,43700,33,108,3,2,106,287,67,4647,0.721632133,764,0.874783768,6,0.48633403,Active
kamranahmedse/developer-roadmap,TypeScript,349112,43700,33,108,3,3,56,183,8,456,0.443672091,2247,0.923580684,3,0.473452596,Declining
kamranahmedse/developer-roadmap,TypeScript,349112,43700,33,108,3,4,169,261,33,205,0.623521579,3766,0.692665267,9,0.085148798,Active
kamranahmedse/developer-roadmap,TypeScript,349112,43700,33,108,3,5,189,238,84,4967,0.929508748,3440,0.903809034,11,0.207322864,Active
kamranahmedse/developer-roadmap,TypeScript,349112,43700,33,108,3,6,82,217,3,2021,0.76124746,3142,0.643794702,8,0.093749176,Declining
jwasham/coding-interview-university,,337014,81642,95,118,171,1,158,37,81,2850,0.870100265,2403,0.737325091,2,0.280625685,Declining
jwasham/coding-interview-university,,337014,81642,95,118,171,2,33,45,16,4474,0.74198088,3664,0.594120314,6,0.47313411,Active
jwasham/coding-interview-university,,337014,81642,95,118,171,3,157,141,69,4072,0.810432281,2809,0.587686876,10,0.137414467,Active
jwasham/coding-interview-university,,337014,81642,95,118,171,4,61,17,43,4083,0.583591144,1315,0.909409866,3,0.398393433,Active
jwasham/coding-interview-university,,337014,81642,95,118,171,5,66,266,3,3862,0.476831251,593,0.827707569,6,0.319266451,Declining
jwasham/coding-interview-university,,337014,81642,95,118,171,6,74,165,59,946,0.673962345,3409,0.637150306,3,0.270907129,Active
donnemartin/system-design-primer,Python,335491,54430,524,109,105,1,67,208,79,1320,0.810771149,1431,0.959477108,7,0.43689414,Declining
donnemartin/system-design-primer,Python,335491,54430,524,109,105,2,47,228,77,2133,0.932236857,172,0.588968037,1,0.295300396,Active
donnemartin/system-design-primer,Python,335491,54430,524,109,105,3,20,289,90,3936,0.802782559,2018,0.723462261,0,0.313278675,Active
donnemartin/system-design-primer,Python,335491,54430,524,109,105,4,43,290,43,2715,0.706106418,2379,0.605534047,2,0.197117342,Declining
donnemartin/system-design-primer,Python,335491,54430,524,109,105,5,163,141,14,3912,0.631679285,2532,0.54108498,7,0.306288529,Declining
donnemartin/system-design-primer,Python,335491,54430,524,109,105,6,192,84,38,1353,0.662269021,612,0.884579326,4,0.112779839,Declining
vinta/awesome-python,Python,283079,27208,16,141,1,1,66,202,20,3924,0.657384471,1822,0.542682058,9,0.215294361,Active
vinta/awesome-python,Python,283079,27208,16,141,1,2,66,92,75,3022,0.538991863,546,0.507038747,5,0.233068352,Declining
vinta/awesome-python,Python,283079,27208,16,141,1,3,36,144,13,4311,0.521115531,59,0.961098699,6,0.164190442,Active
vinta/awesome-python,Python,283079,27208,16,141,1,4,180,65,65,1861,0.731331545,931,0.768446219,8,0.32627723,Active
vinta/awesome-python,Python,283079,27208,16,141,1,5,66,197,46,1094,0.716088352,3953,0.693372002,5,0.120516956,Declining
vinta/awesome-python,Python,283079,27208,16,141,1,6,150,225,27,4768,0.755316696,63,0.514753261,5,0.119990799,Declining
996icu/996.ICU,,275472,20966,16698,83,178,1,112,23,4,4849,0.793990981,279,0.708829352,0,0.354000967,Active
996icu/996.ICU,,275472,20966,16698,83,178,2,152,76,25,2186,0.562570952,453,0.871076487,4,0.377554381,Active
996icu/996.ICU,,275472,20966,16698,83,178,3,86,238,37,1573,0.469042533,3087,0.978041093,4,0.447418474,Declining
996icu/996.ICU,,275472,20966,16698,83,178,4,45,125,97,3389,0.495164044,3435,0.854896803,5,0.238940446,Active
996icu/996.ICU,,275472,20966,16698,83,178,5,67,96,34,2610,0.667467491,928,0.965087302,6,0.401891152,Declining
996icu/996.ICU,,275472,20966,16698,83,178,6,132,292,32,781,0.902975253,1860,0.569048326,7,0.355893168,Declining
awesome-selfhosted/awesome-selfhosted,,273491,12435,0,130,2,1,11,89,73,1852,0.694855725,2986,0.608467504,8,0.240039502,Declining
awesome-selfhosted/awesome-selfhosted,,273491,12435,0,130,2,2,102,88,62,1459,0.920064183,2118,0.654830048,1,0.142833823,Declining
awesome-selfhosted/awesome-selfhosted,,273491,12435,0,130,2,3,63,100,1,2693,0.521262194,334,0.883262961,8,0.25426565,Declining
awesome-selfhosted/awesome-selfhosted,,273491,12435,0,130,2,4,172,56,12,2789,0.575532222,1163,0.822987087,3,0.217014847,Declining
awesome-selfhosted/awesome-selfhosted,,273491,12435,0,130,2,5,116,81,3,420,0.602364667,1467,0.780524998,9,0.463732563,Active
awesome-selfhosted/awesome-selfhosted,,273491,12435,0,130,2,6,66,262,36,4619,0.64810823,1173,0.774049114,4,0.409196618,Declining
practical-tutorials/project-based-learning,,258428,33702,275,107,550,1,129,208,99,2660,0.846752258,942,0.720057667,5,0.408087562,Declining
practical-tutorials/project-based-learning,,258428,33702,275,107,550,2,94,187,31,1614,0.538511162,113,0.760009012,4,0.097128732,Declining
practical-tutorials/project-based-learning,,258428,33702,275,107,550,3,189,225,73,4123,0.68139817,1349,0.873744834,11,0.322718686,Active
practical-tutorials/project-based-learning,,258428,33702,275,107,550,4,186,195,13,1836,0.797151162,2445,0.644001265,4,0.099456039,Active
practical-tutorials/project-based-learning,,258428,33702,275,107,550,5,27,134,79,4311,0.859187734,3639,0.676910536,0,0.102862803,Declining
practical-tutorials/project-based-learning,,258428,33702,275,107,550,6,123,53,71,3260,0.585878576,2495,0.657078481,5,0.228492299,Active
facebook/react,JavaScript,243010,50584,1120,155,0,1,142,221,55,1776,0.870754147,1806,0.700591846,1,0.350369174,Active
facebook/react,JavaScript,243010,50584,1120,155,0,2,142,19,32,3193,0.805958965,1343,0.531501848,2,0.359237736,Active
facebook/react,JavaScript,243010,50584,1120,155,0,3,157,90,64,3740,0.48754396,3915,0.53140367,10,0.185249857,Declining
facebook/react,JavaScript,243010,50584,1120,155,0,4,103,185,7,2765,0.910138358,51,0.965678229,1,0.423004342,Declining
facebook/react,JavaScript,243010,50584,1120,155,0,5,172,275,33,293,0.600378063,2830,0.558764242,10,0.393281447,Active
facebook/react,JavaScript,243010,50584,1120,155,0,6,147,281,41,347,0.478240654,2344,0.743166421,4,0.075235604,Active
TheAlgorithms/Python,Python,217704,50052,897,116,13,1,90,238,35,4066,0.678455063,69,0.708538524,7,0.086950838,Declining
TheAlgorithms/Python,Python,217704,50052,897,116,13,2,60,195,68,2169,0.400066155,2947,0.571233064,4,0.295008651,Declining
TheAlgorithms/Python,Python,217704,50052,897,116,13,3,43,109,65,2360,0.535594041,2096,0.547705718,3,0.278174626,Declining
TheAlgorithms/Python,Python,217704,50052,897,116,13,4,189,262,7,4192,0.897049729,3911,0.577335029,7,0.050857522,Active
TheAlgorithms/Python,Python,217704,50052,897,116,13,5,58,209,71,3597,0.539774373,2109,0.599780812,6,0.301776366,Active
TheAlgorithms/Python,Python,217704,50052,897,116,13,6,60,175,7,4970,0.934839329,427,0.955809085,11,0.057415943,Active
torvalds/linux,C,217513,60450,3,175,0,1,84,115,76,3184,0.511189139,322,0.521649155,4,0.272115937,Declining
torvalds/linux,C,217513,60450,3,175,0,2,46,159,88,2598,0.708024438,3785,0.67877787,3,0.415764945,Declining
torvalds/linux,C,217513,60450,3,175,0,3,194,71,63,1396,0.669911163,2136,0.554603896,2,0.221845962,Active
torvalds/linux,C,217513,60450,3,175,0,4,165,273,68,4504,0.412897168,2899,0.725484326,5,0.458160161,Declining
torvalds/linux,C,217513,60450,3,175,0,5,30,172,34,3128,0.770277215,634,0.950492701,11,0.486063419,Declining
torvalds/linux,C,217513,60450,3,175,0,6,89,208,15,4034,0.874357701,1981,0.897050203,6,0.407292418,Declining
vuejs/vue,TypeScript,209887,33878,619,152,494,1,183,291,28,721,0.790259845,2918,0.748701699,9,0.397157124,Declining
vuejs/vue,TypeScript,209887,33878,619,152,494,2,17,292,26,2651,0.47317492,1384,0.926724896,8,0.350049906,Active
vuejs/vue,TypeScript,209887,33878,619,152,494,3,18,153,32,2533,0.411813361,1271,0.863631326,0,0.286750584,Active
vuejs/vue,TypeScript,209887,33878,619,152,494,4,159,287,81,2788,0.686302188,1906,0.702060321,7,0.490656405,Active
vuejs/vue,TypeScript,209887,33878,619,152,494,5,170,122,16,1853,0.931018539,1354,0.883528129,7,0.412471559,Declining
vuejs/vue,TypeScript,209887,33878,619,152,494,6,33,45,55,396,0.744539948,1429,0.590336098,4,0.357763983,Active
trimstray/the-book-of-secret-knowledge,,206472,12430,104,93,453,1,81,114,76,2100,0.622573614,3678,0.548210121,2,0.185631956,Active
trimstray/the-book-of-secret-knowledge,,206472,12430,104,93,453,2,31,225,69,3066,0.577552623,2473,0.833144674,4,0.266833294,Active
trimstray/the-book-of-secret-knowledge,,206472,12430,104,93,453,3,18,57,71,4685,0.866623907,2711,0.89876345,7,0.132820507,Declining
trimstray/the-book-of-secret-knowledge,,206472,12430,104,93,453,4,27,166,1,4614,0.662608755,611,0.976681815,5,0.090152399,Declining
trimstray/the-book-of-secret-knowledge,,206472,12430,104,93,453,5,165,124,32,4265,0.499720924,3419,0.612872987,5,0.198384617,Active
trimstray/the-book-of-secret-knowledge,,206472,12430,104,93,453,6,160,111,95,1312,0.831306348,2857,0.57114199,2,0.099449716,Declining
ossu/computer-science,HTML,201294,25020,18,143,10,1,55,199,82,4466,0.711412074,2207,0.560962969,10,0.465355449,Active
ossu/computer-science,HTML,201294,25020,18,143,10,2,29,68,28,2109,0.839333375,3607,0.849598574,7,0.100707873,Active
ossu/computer-science,HTML,201294,25020,18,143,10,3,171,11,55,4085,0.646964305,863,0.969729124,2,0.424094818,Active
ossu/computer-science,HTML,201294,25020,18,143,10,4,19,264,37,1381,0.603813063,2089,0.557053652,5,0.069145238,Declining
ossu/computer-science,HTML,201294,25020,18,143,10,5,25,58,37,142,0.908389444,1402,0.914526142,4,0.310773487,Declining
ossu/computer-science,HTML,201294,25020,18,143,10,6,49,144,30,2873,0.844896987,385,0.911953245,7,0.309887847,Declining
openclaw/openclaw,TypeScript,199563,35291,6659,2,0,1,73,12,66,338,0.476333638,561,0.579079397,7,0.094933163,Active
openclaw/openclaw,TypeScript,199563,35291,6659,2,0,2,144,285,49,4891,0.827275975,1409,0.604101127,4,0.454096217,Active
openclaw/openclaw,TypeScript,199563,35291,6659,2,0,3,66,17,25,1419,0.538063884,3231,0.699076507,11,0.064910386,Declining
openclaw/openclaw,TypeScript,199563,35291,6659,2,0,4,27,172,28,1495,0.4313377,1182,0.805042316,4,0.358576377,Active
openclaw/openclaw,TypeScript,199563,35291,6659,2,0,5,128,42,34,4168,0.908615452,963,0.942205122,5,0.143609055,Active
openclaw/openclaw,TypeScript,199563,35291,6659,2,0,6,68,239,70,3521,0.477525487,141,0.849213904,10,0.309418642,Declining
trekhleb/javascript-algorithms,JavaScript,195538,31127,391,96,44,1,55,222,28,3632,0.519695236,476,0.54298479,5,0.119795761,Active
trekhleb/javascript-algorithms,JavaScript,195538,31127,391,96,44,2,88,186,44,3229,0.408967478,387,0.912289467,3,0.225861115,Active
trekhleb/javascript-algorithms,JavaScript,195538,31127,391,96,44,3,78,171,41,1579,0.501181273,1099,0.937217589,0,0.221150705,Declining
trekhleb/javascript-algorithms,JavaScript,195538,31127,391,96,44,4,95,189,57,3477,0.457098589,206,0.799276228,10,0.131351006,Active
trekhleb/javascript-algorithms,JavaScript,195538,31127,391,96,44,5,58,138,35,4317,0.682266383,391,0.62328371,4,0.125526958,Active
trekhleb/javascript-algorithms,JavaScript,195538,31127,391,96,44,6,109,34,40,2558,0.49939361,1526,0.625229302,5,0.167754937,Declining
tensorflow/tensorflow,C++,193732,75231,3591,125,0,1,163,181,43,1199,0.597353528,3505,0.786058521,4,0.274241915,Declining
tensorflow/tensorflow,C++,193732,75231,3591,125,0,2,190,28,79,3313,0.756885363,1302,0.579636983,8,0.420795552,Declining
tensorflow/tensorflow,C++,193732,75231,3591,125,0,3,176,229,64,619,0.636074441,2825,0.660415178,3,0.123788572,Declining
tensorflow/tensorflow,C++,193732,75231,3591,125,0,4,75,298,88,287,0.75420991,1694,0.977434331,5,0.07742075,Active
tensorflow/tensorflow,C++,193732,75231,3591,125,0,5,93,84,97,3548,0.767915231,677,0.692709306,0,0.081184733,Declining
tensorflow/tensorflow,C++,193732,75231,3591,125,0,6,193,248,68,528,0.736503803,2315,0.628173557,8,0.443165731,Active
ohmyzsh/ohmyzsh,Shell,184715,26286,510,200,0,1,167,118,22,3115,0.680072113,3233,0.631921958,7,0.184512853,Active
ohmyzsh/ohmyzsh,Shell,184715,26286,510,200,0,2,160,40,51,4185,0.665532832,1098,0.781278114,9,0.387420159,Declining
ohmyzsh/ohmyzsh,Shell,184715,26286,510,200,0,3,137,13,9,3332,0.667057981,1464,0.86752476,5,0.442250659,Active
ohmyzsh/ohmyzsh,Shell,184715,26286,510,200,0,4,140,212,67,1793,0.42442103,2942,0.891084565,8,0.188330629,Active
ohmyzsh/ohmyzsh,Shell,184715,26286,510,200,0,5,27,199,27,225,0.923697766,2377,0.685577721,4,0.357139532,Active
ohmyzsh/ohmyzsh,Shell,184715,26286,510,200,0,6,189,139,60,923,0.560134556,3833,0.514580403,9,0.27289854,Active
getify/You-Dont-Know-JS,,184391,33665,2,149,1,1,33,88,30,1229,0.853738162,1272,0.633145327,9,0.242299172,Active
getify/You-Dont-Know-JS,,184391,33665,2,149,1,2,150,157,12,454,0.773753067,3189,0.697805631,7,0.060012031,Declining
getify/You-Dont-Know-JS,,184391,33665,2,149,1,3,181,197,69,4349,0.686885228,2540,0.770854201,5,0.204435444,Declining
getify/You-Dont-Know-JS,,184391,33665,2,149,1,4,162,160,22,3335,0.609669776,115,0.518199622,10,0.302297896,Active
getify/You-Dont-Know-JS,,184391,33665,2,149,1,5,145,82,10,3720,0.888812776,1439,0.652340815,4,0.459007514,Declining
getify/You-Dont-Know-JS,,184391,33665,2,149,1,6,107,136,4,635,0.872525892,95,0.777013098,8,0.489883252,Active
CyC2018/CS-Notes,,183683,51202,194,97,544,1,176,295,35,156,0.474925717,176,0.850047157,10,0.070429194,Active
CyC2018/CS-Notes,,183683,51202,194,97,544,2,6,262,10,3135,0.440711277,3544,0.714048347,4,0.268602107,Declining
CyC2018/CS-Notes,,183683,51202,194,97,544,3,144,205,72,4395,0.621854653,478,0.717150928,5,0.176834347,Active
CyC2018/CS-Notes,,183683,51202,194,97,544,4,153,162,8,2860,0.917135706,2650,0.642533432,10,0.074304623,Declining
CyC2018/CS-Notes,,183683,51202,194,97,544,5,8,105,96,4973,0.480078194,3970,0.718728819,6,0.344783049,Declining
CyC2018/CS-Notes,,183683,51202,194,97,544,6,104,129,83,3731,0.516976239,608,0.760202727,9,0.329511905,Declining
Significant-Gravitas/AutoGPT,Python,181831,46221,328,35,0,1,114,291,59,656,0.943714418,1334,0.629896958,9,0.052465653,Declining
Significant-Gravitas/AutoGPT,Python,181831,46221,328,35,0,2,133,178,69,2651,0.66609551,2626,0.68506799,10,0.194880849,Declining
Significant-Gravitas/AutoGPT,Python,181831,46221,328,35,0,3,38,156,34,4170,0.916827509,3034,0.502927041,0,0.178740238,Declining
Significant-Gravitas/AutoGPT,Python,181831,46221,328,35,0,4,86,180,68,3659,0.832531254,2215,0.955509878,0,0.483104376,Active
Significant-Gravitas/AutoGPT,Python,181831,46221,328,35,0,5,55,163,34,2637,0.804981011,3342,0.947539073,10,0.405234309,Declining
Significant-Gravitas/AutoGPT,Python,181831,46221,328,35,0,6,181,266,51,3935,0.413188717,2510,0.512459603,8,0.230750019,Declining
microsoft/vscode,TypeScript,181731,37965,13934,127,0,1,198,143,81,4923,0.574394915,2884,0.579935986,10,0.316406365,Declining
microsoft/vscode,TypeScript,181731,37965,13934,127,0,2,146,62,30,738,0.632297467,303,0.929469301,2,0.193942488,Declining
microsoft/vscode,TypeScript,181731,37965,13934,127,0,3,128,262,39,4432,0.402127012,2989,0.686464794,2,0.139696757,Active
microsoft/vscode,TypeScript,181731,37965,13934,127,0,4,129,79,61,3517,0.45691673,2569,0.93993596,8,0.133612167,Active
microsoft/vscode,TypeScript,181731,37965,13934,127,0,5,126,6,85,1761,0.919268996,2886,0.692858665,2,0.448369845,Active
microsoft/vscode,TypeScript,181731,37965,13934,127,0,6,136,286,88,2180,0.766314412,2880,0.906524553,10,0.162080853,Declining
jackfrued/Python-100-Days,Jupyter Notebook,178675,55405,688,96,4,1,102,162,9,3703,0.748716065,383,0.644688018,7,0.118546577,Active
jackfrued/Python-100-Days,Jupyter Notebook,178675,55405,688,96,4,2,120,132,15,1244,0.860503666,1163,0.529987215,10,0.064147099,Active
jackfrued/Python-100-Days,Jupyter Notebook,178675,55405,688,96,4,3,130,123,83,3027,0.84445458,257,0.559778562,10,0.409671635,Active
jackfrued/Python-100-Days,Jupyter Notebook,178675,55405,688,96,4,4,96,252,7,3446,0.651170891,3103,0.556045527,6,0.494880205,Declining
jackfrued/Python-100-Days,Jupyter Notebook,178675,55405,688,96,4,5,106,181,52,4395,0.811109442,389,0.608970198,9,0.371252917,Active
jackfrued/Python-100-Days,Jupyter Notebook,178675,55405,688,96,4,6,83,209,55,3293,0.548502074,612,0.783275365,0,0.240731065,Active
flutter/flutter,Dart,175219,29994,12460,133,0,1,56,186,29,3501,0.639375659,2048,0.916872567,1,0.404255313,Declining
flutter/flutter,Dart,175219,29994,12460,133,0,2,111,44,12,2600,0.515069411,3436,0.545405601,11,0.368972474,Declining
flutter/flutter,Dart,175219,29994,12460,133,0,3,5,137,60,3492,0.578683906,2475,0.947308979,5,0.29665683,Active
flutter/flutter,Dart,175219,29994,12460,133,0,4,160,241,2,789,0.511791842,2178,0.792725492,1,0.356215703,Declining
flutter/flutter,Dart,175219,29994,12460,133,0,5,95,35,26,4827,0.817185324,2986,0.586115229,11,0.45933271,Active
flutter/flutter,Dart,175219,29994,12460,133,0,6,173,12,30,4919,0.535963103,2851,0.745145189,10,0.376665788,Active
n8n-io/n8n,TypeScript,174751,54893,1380,81,0,1,138,230,55,1146,0.862803415,3472,0.584827432,1,0.15158581,Declining
n8n-io/n8n,TypeScript,174751,54893,1380,81,0,2,49,113,93,4024,0.923231808,2390,0.732024096,2,0.253063991,Active
n8n-io/n8n,TypeScript,174751,54893,1380,81,0,3,157,233,83,2529,0.928150884,653,0.671135031,2,0.138562957,Active
n8n-io/n8n,TypeScript,174751,54893,1380,81,0,4,185,227,87,4402,0.92506849,3998,0.900890988,2,0.33920011,Declining
n8n-io/n8n,TypeScript,174751,54893,1380,81,0,5,36,18,3,1583,0.578744184,3216,0.807437105,3,0.349753158,Declining
n8n-io/n8n,TypeScript,174751,54893,1380,81,0,6,40,248,75,4226,0.549714546,217,0.948413375,1,0.489536121,Active
twbs/bootstrap,MDX,173972,79109,575,177,0,1,178,59,56,1244,0.895127165,2593,0.610852386,0,0.277077289,Declining
twbs/bootstrap,MDX,173972,79109,575,177,0,2,27,287,11,4355,0.901762708,1058,0.703570561,10,0.45434588,Declining
twbs/bootstrap,MDX,173972,79109,575,177,0,3,45,184,84,2923,0.595662529,1684,0.796150847,10,0.275780634,Active
twbs/bootstrap,MDX,173972,79109,575,177,0,4,195,160,38,2888,0.791954193,2940,0.651629844,8,0.313769219,Declining
twbs/bootstrap,MDX,173972,79109,575,177,0,5,126,286,23,1365,0.735612216,2845,0.50509168,3,0.480741551,Active
twbs/bootstrap,MDX,173972,79109,575,177,0,6,45,38,79,4179,0.638646529,2618,0.879327782,7,0.122294249,Declining
github/gitignore,,172448,82833,94,185,3,1,14,103,31,3695,0.483265791,2923,0.586676466,10,0.089466075,Declining
github/gitignore,,172448,82833,94,185,3,2,27,256,6,4970,0.514354034,3459,0.572585055,8,0.436339484,Declining
github/gitignore,,172448,82833,94,185,3,3,150,124,38,3842,0.856414045,2478,0.69952313,6,0.065141199,Declining
github/gitignore,,172448,82833,94,185,3,4,184,263,32,2473,0.763108274,486,0.622140198,7,0.395633682,Declining
github/gitignore,,172448,82833,94,185,3,5,89,193,61,4192,0.796144051,3023,0.876018488,5,0.459903052,Declining
github/gitignore,,172448,82833,94,185,3,6,165,292,53,2807,0.47687648,1816,0.944743403,9,0.439234995,Declining
massgravel/Microsoft-Activation-Scripts,Batchfile,166166,15994,2,74,15,1,67,56,97,1258,0.572886868,772,0.640311884,10,0.399764808,Declining
massgravel/Microsoft-Activation-Scripts,Batchfile,166166,15994,2,74,15,2,106,145,89,1999,0.405611427,582,0.82843484,4,0.473714574,Active
massgravel/Microsoft-Activation-Scripts,Batchfile,166166,15994,2,74,15,3,103,96,99,980,0.433201013,3973,0.930483022,7,0.099680345,Active
massgravel/Microsoft-Activation-Scripts,Batchfile,166166,15994,2,74,15,4,169,80,85,2362,0.573333879,2954,0.589230948,4,0.062474322,Active
massgravel/Microsoft-Activation-Scripts,Batchfile,166166,15994,2,74,15,5,49,142,61,4777,0.855968133,3913,0.906780401,1,0.344734408,Active
massgravel/Microsoft-Activation-Scripts,Batchfile,166166,15994,2,74,15,6,139,281,77,670,0.701970844,3705,0.531971662,5,0.05699742,Active
avelino/awesome-go,Go,165169,12963,182,141,3,1,82,69,96,1829,0.894143274,1624,0.683449017,6,0.434783431,Active
avelino/awesome-go,Go,165169,12963,182,141,3,2,177,36,2,1137,0.75454076,3212,0.552828414,0,0.406239925,Active
avelino/awesome-go,Go,165169,12963,182,141,3,3,64,37,93,4695,0.925796669,2082,0.795680863,9,0.429972602,Active
avelino/awesome-go,Go,165169,12963,182,141,3,4,88,191,33,3877,0.632417282,3567,0.647899534,1,0.110127401,Declining
avelino/awesome-go,Go,165169,12963,182,141,3,5,8,49,96,967,0.463110935,2705,0.712243769,9,0.348610337,Declining
avelino/awesome-go,Go,165169,12963,182,141,3,6,76,114,13,1178,0.543153795,951,0.950498888,4,0.416327273,Active
ollama/ollama,Go,162688,14588,2429,32,0,1,135,249,33,4583,0.553076537,1282,0.506026396,5,0.327269727,Active
ollama/ollama,Go,162688,14588,2429,32,0,2,148,77,96,639,0.896610529,286,0.742354132,2,0.451694737,Declining
ollama/ollama,Go,162688,14588,2429,32,0,3,16,276,47,3169,0.702934541,3962,0.927056545,3,0.130020702,Active
ollama/ollama,Go,162688,14588,2429,32,0,4,74,275,17,991,0.747907383,441,0.900150715,1,0.455680427,Declining
ollama/ollama,Go,162688,14588,2429,32,0,5,161,228,66,3759,0.489355681,3319,0.638777802,7,0.189581148,Declining
ollama/ollama,Go,162688,14588,2429,32,0,6,131,209,17,1881,0.749459639,1091,0.535170483,11,0.4654251,Declining
AUTOMATIC1111/stable-diffusion-webui,Python,160563,29961,2458,42,59,1,120,164,7,2054,0.760340113,1356,0.827152552,9,0.313289415,Declining
AUTOMATIC1111/stable-diffusion-webui,Python,160563,29961,2458,42,59,2,148,285,11,2675,0.417152197,3006,0.908383773,11,0.435815399,Active
AUTOMATIC1111/stable-diffusion-webui,Python,160563,29961,2458,42,59,3,126,299,60,3191,0.728383724,1533,0.923809721,6,0.459110466,Active
AUTOMATIC1111/stable-diffusion-webui,Python,160563,29961,2458,42,59,4,125,210,18,1384,0.637597279,278,0.77738254,3,0.118916032,Declining
